Principal Component,Explained Variance Ratio,Cumulative Variance Ratio
PC1,0.10180413113541179,0.10180413113541179
PC2,0.07636378154213931,0.1781679126775511
PC3,0.04359184027869697,0.22175975295624809
PC4,0.029023170394586156,0.25078292335083424
PC5,0.023481387289871522,0.2742643106407058
PC6,0.018965820968185818,0.2932301316088916
PC7,0.01804132848444782,0.31127146009333945
PC8,0.01651604847893827,0.32778750857227773
PC9,0.015530190297051426,0.34331769886932917
PC10,0.015292785445369775,0.35861048431469894
PC11,0.01318528856124383,0.3717957728759428
PC12,0.0121079743808328,0.38390374725677556
PC13,0.011582888427422545,0.3954866356841981
PC14,0.011530572095524551,0.40701720777972267
PC15,0.011059771567768483,0.41807697934749116
PC16,0.010017131041129635,0.4280941103886208
PC17,0.009399813293447691,0.43749392368206846
PC18,0.009293004431495546,0.446786928113564
PC19,0.008771464050565145,0.4555583921641292
PC20,0.008657627524785626,0.4642160196889148
PC21,0.008385187631428306,0.4726012073203431
PC22,0.008273985501665769,0.48087519282200886
PC23,0.0079359234208586,0.48881111624286744
PC24,0.00781683626609809,0.4966279525089655
PC25,0.007530988174810184,0.5041589406837758
PC26,0.007254130714832196,0.5114130713986079
PC27,0.007086948185997835,0.5185000195846058
PC28,0.006921441074499585,0.5254214606591053
PC29,0.00677944498640326,0.5322009056455086
PC30,0.006473593509699055,0.5386744991552076
PC31,0.006399782630248357,0.5450742817854559
PC32,0.0062965561038869295,0.5513708378893428
PC33,0.006199786678859088,0.557570624568202
PC34,0.006159345149097282,0.5637299697172993
PC35,0.005910461634551108,0.5696404313518504
PC36,0.0057536541948311,0.5753940855466815
PC37,0.005663854197336267,0.5810579397440178
PC38,0.005616523972617398,0.5866744637166351
PC39,0.005604603155324704,0.5922790668719599
PC40,0.005538925912216897,0.5978179927841768
PC41,0.005495783094544361,0.6033137758787211
PC42,0.005471728322098088,0.6087855042008192
PC43,0.00529674343534348,0.6140822476361627
PC44,0.005267207985799669,0.6193494556219624
PC45,0.0052137283080903405,0.6245631839300527
PC46,0.005164807538572473,0.6297279914686252
PC47,0.0051338275766529004,0.6348618190452782
PC48,0.005036299315381166,0.6398981183606594
PC49,0.0049675301282787404,0.6448656484889381
PC50,0.004936958225488731,0.6498026067144269
PC51,0.004897076838374903,0.6546996835528018
PC52,0.004857828414969031,0.6595575119677709
PC53,0.004811106611903121,0.664368618579674
PC54,0.004733536824417305,0.6691021554040913
PC55,0.004704796907987753,0.6738069523120791
PC56,0.004640641436463835,0.6784475937485429
PC57,0.004610117764388752,0.6830577115129317
PC58,0.004573328096600224,0.687631039609532
PC59,0.004516779397485393,0.6921478190070174
PC60,0.004487003509907416,0.6966348225169248
PC61,0.004459309363760187,0.7010941318806849
PC62,0.004378472345689481,0.7054726042263744
PC63,0.0043614150403733344,0.7098340192667477
PC64,0.004318458144454436,0.7141524774112021
PC65,0.0042797254532973015,0.7184322028644995
PC66,0.004249267915205354,0.7226814707797048
PC67,0.004226532957738612,0.7269080037374434
PC68,0.004190539947355752,0.7310985436847991
PC69,0.00415356928393495,0.735252112968734
PC70,0.004132507790802711,0.7393846207595368
PC71,0.004079478698218133,0.7434640994577549
PC72,0.004061210975962758,0.7475253104337177
PC73,0.004031047228628651,0.7515563576623464
PC74,0.003982243169073271,0.7555386008314197
PC75,0.003945800827850331,0.75948440165927
PC76,0.003916989768205515,0.7634013914274755
PC77,0.0038903488427289743,0.7672917402702045
PC78,0.0038251846082149833,0.7711169248784195
PC79,0.003781822455980252,0.7748987473343998
PC80,0.003775742694096601,0.7786744900284964
PC81,0.003723832122242291,0.7823983221507387
PC82,0.003701841322990821,0.7861001634737295
PC83,0.003680235013064082,0.7897803984867936
PC84,0.003660237272184475,0.793440635758978
PC85,0.003644405680744083,0.7970850414397221
PC86,0.0036005114628147733,0.800685552902537
PC87,0.0035064288163557996,0.8041919817188927
PC88,0.003481652559527055,0.8076736342784198
PC89,0.0034575780935204295,0.8111312123719402
PC90,0.003427845205155254,0.8145590575770955
PC91,0.003381893963955588,0.8179409515410511
