,PC1
DR1TPHOS,0.18198218943023536
DR1TKCAL,0.18092120226263536
DR1TTFAT,0.1754543789825365
DR1TMFAT,0.16711728179223384
DR1TS160,0.16705414539297594
DR1TM181,0.16420784795364485
DR1TPROT,0.16366093392432235
DR1TSFAT,0.16357841805906284
DR1TPOTA,0.16128171163842245
DR1TMAGN,0.15752945408054306
DR1TS180,0.15725465333218633
DR1TSODI,0.15624241100317263
DR1TSELE,0.1514965788825853
DR1TZINC,0.15041969922317167
DR1TVB2,0.14766423776448237
DR1TCALC,0.14445192595933765
DR1TCHL,0.14433096805419787
DR1TCOPP,0.14338276667314642
DR1TVB1,0.14321541610467287
DR1TPFAT,0.14253835079447907
DR1TP182,0.14090755664316065
DR1TNIAC,0.14008728154372083
DR1TCARB,0.13956699247397483
DR1TIRON,0.13842656590038935
DR1TFOLA,0.13226879516626136
DR1TM161,0.1291970386114621
DR1TS140,0.12765602889284727
DR1TATOC,0.12719201706218403
DR1TFF,0.12674136537969413
DR1TFIBE,0.12567469132506878
DR1TRET,0.12031509293225146
DR1TVB6,0.12006756044696378
DR1TS100,0.11989106758858104
DR1TFDFE,0.11956098090346798
DR1TP183,0.11940506964667974
DR1TCHOL,0.11783499202836052
DR1TVB12,0.11700420452198913
DR1TS060,0.11034833936746907
DR1TM201,0.10983556736250347
DR1TS040,0.10952630424176857
DR1TS080,0.10771260142039794
DR1TP204,0.10606453532490707
DR1TVARA,0.09801241267226353
DR1TSUGR,0.0899687048856871
DR1TNUMF,0.08980420301089022
DR1TFA,0.08214102711301208
DR1TVD,0.08045300617648743
DR1TMOIS,0.07332304083243754
DR1TS120,0.07159972491897794
BMXHT,0.06971388760985282
RIAGENDR,-0.06640936706003336
DR1TVK,0.058098337652448144
DR1TVC,0.056431203647403685
LBXHGB,0.04751563654957091
LBXHCT,0.04595152478520178
OHX04TC,-0.04560690697408409
OHX14TC,-0.045320213239145236
BMXARML,0.04527789886334413
OHX15TC,-0.04479629941942069
OHX31TC,-0.044228887954029864
OHX07TC,-0.04409912672858243
OHX08TC,-0.04366530852285542
OHX23TC,-0.04337288378015328
OHX25TC,-0.04328355373687182
OHX09TC,-0.0426070033542643
HSD010,-0.04238068087682033
OHX20TC,-0.04220040421415652
OHX02TC,-0.04178965919395698
OHX24TC,-0.04104695884357912
OHX19TC,-0.04101770205863133
OHX11TC,-0.040978203726227076
OHX10TC,-0.040972305115608995
OHX06TC,-0.04085700422533044
OHX30TC,-0.04076126755554039
OHX26TC,-0.04023158590617159
IND235,0.0398231855004674
OHX29TC,-0.03979893651493432
OHX18TC,-0.03954364046839515
INDFMIN2,0.03914675790251609
LBXRBCSI,0.03909214130931957
HUQ010,-0.03890692446657724
OHX22TC,-0.03877003141794128
INDHHIN2,0.038600059170538055
INDFMMPC,0.03818410782686136
DR1TLZ,0.038174545779228276
OHX27TC,-0.038059287457592544
INDFMPIR,0.03772560263949613
OHX13TC,-0.0371523267720363
OHX03TC,-0.037122086899846245
DLQ050,0.03687611568760553
DMDHREDU,0.03660617127175521
INDFMMPI,0.03620671042474876
DR1.300,-0.03374460219450978
OHX05TC,-0.03316629286871065
DR1TBCAR,0.03254130239361239
OHX12TC,-0.031869753988370476
FSD032A,0.031478705198743774
SMQ860,-0.03067572878052957
OHX21TC,-0.030245535931701196
FSQ165,0.030105066492674203
OHX28TC,-0.02896162932446633
INQ030,0.028365782554137253
OHQ033,-0.02757800140188884
FSDHH,-0.027565185555419067
DLQ020,0.02756097050431642
FSDAD,-0.027292496670900283
HOD050,0.027214985658229086
WTINT2YR,0.02655308062734398
WTMEC2YR,0.026371091645917277
FSD032B,0.026216210507718777
OHQ845,-0.025082511277999157
HUQ071,0.02430859326215274
INQ090,0.02425093435260772
DMDHRAGE,-0.024021940743359962
DLQ060,0.02374165236778021
URXVOL1,0.022738874992328538
FSD032C,0.02140452835136217
FSD151,0.021255469735079767
LBXRDW,-0.020725061284683995
LBXPLTSI,-0.019233998597128883
OHQ770,0.018797071088652927
RIDAGEYR,-0.018625833385359458
DLQ040,0.01860835970323602
LBXMC,0.018561127669636083
INQ132,0.017870944798501424
DRD340,-0.01765946286891293
DR1DBIH,0.01741797372947191
INQ140,-0.017021498818711955
SMQ878,-0.016321220049363448
DIQ010,0.016101349144459702
SIAINTRP,0.01606322713191211
BMXWT,0.01600258388367793
DRD360,-0.01571666348426502
INQ020,-0.014834590076313487
DMDHRGND,-0.014257039662258842
URDACT,-0.013792733153223866
HSQ510,0.013423770045058049
OHX16TC,-0.012998453352377369
BMXBMI,-0.012912848307409032
INQ060,0.012510571432836685
SIAPROXY,0.011740637742575399
OHQ030,-0.011535693576597823
DRQSPREP,0.011506679258319528
URXUMS,-0.01148086620518693
URXUMA,-0.011480866205186924
DR1TWS,-0.01126651230103556
LBXMCHSI,0.011263224648985822
PAAQUEX,-0.010645528696999787
DR1LANG,-0.010542621243442879
MCQ053,0.010541490196345408
SIALANG,-0.01049610347212823
DBQ095Z,-0.010320698555302165
DR1STY,-0.010277556505015223
OHX32TC,-0.010063362080910312
MGDEXSTS,-0.00999360830039516
OHX17TC,-0.009949772607535675
HOQ065,-0.009820308815077596
LBXEOPCT,0.009745016404902603
LBXHA,0.00964351549847505
HUQ041,0.009449754914150937
OHDEXSTS,-0.009296401568197991
DR1HELPD,0.009241638414843418
DMDHRMAR,-0.009196184775631567
DRQSDIET,0.008858260827531036
INQ012,-0.008699995931558901
DIQ050,0.008602386951431638
FIAINTRP,0.008449616709683465
BMDSTATS,-0.008071113406655426
MCQ082,0.008004162803863957
URXUCR.x,0.007898946534471154
URXCRS,0.007898946534471152
HEQ010,-0.007878456438592247
BMXARMC,0.007848559245427184
DR1MNRSP,-0.0074503347469286624
MCQ300B,0.007392428073558282
SMQ872,0.0071621893766972726
LBDLYMNO,-0.007095540917872794
OHX01TC,-0.006956950243010246
INQ080,0.006751895429975165
LBXMOPCT,0.006718819919667688
FSQ162,0.006380205445489331
PEASCST1,-0.006332867237405532
FIALANG,-0.006173421392607645
HUQ090,0.006154981040335547
LBXHBS,-0.005647099688463372
PHQ040,-0.00563358352170301
DMDFMSIZ,0.005632554169138863
HIQ270,0.005531108163591615
BMXWAIST,-0.005512399244972179
SDMVSTRA,-0.005457291553644722
DMDBORN4,-0.005442751398229415
IMQ020,-0.005435340359171427
SMQ874,-0.005406102181327054
LBXWBCSI,-0.005398115090150985
LBXMCVSI,0.005320172737461413
DLQ010,0.005279515277222342
PEASCTM1,-0.005223746675150439
PHQ020,-0.005143849558502705
MCQ010,0.004930918056107064
LBDNENO,-0.004790821606275249
LBXLYPCT,-0.004721874293169373
SMAQUEX.x,0.004419436120250168
FIAPROXY,0.004176687006122478
PHQ030,0.004140891712090985
INQ150,-0.004077726448755622
DMDHHSIZ,0.004031856358551657
DRDINT,0.003946956141809288
LBXMPSI,-0.0038137279901964867
BPXPULS,-0.0037499586192497416
MCQ203,-0.0036664222642005715
MCQ092,0.0035560788362490356
HEQ030,-0.0035262047734751184
CBD070,0.0030989987144795458
IMQ011,-0.0027338936521984795
LBXBAPCT,-0.0027159227952209142
LBDMONO,0.0026994426043259003
DR1DAY,0.0026783494319666187
HIQ011,-0.0024462607235062168
HIQ210,0.0023408593237750548
HUQ030,0.0023384695620941734
SDMVPSU,0.0022491599055746215
HSQ520,-0.002090481758574898
MCQ086,0.0020448795785363923
PHQ060,-0.0018815923288238324
DMDCITZN,-0.0017982810166744549
RIDRETH1,-0.0015155541118338826
HUQ020,-0.0013561510791527058
RIDEXMON,0.0011443367434125363
PHQ050,0.0009712405332113892
DMDHRBR4,0.0009155771025969227
OHDDESTS,-0.000650887863139998
DR1EXMER,-0.0005384271180546296
LBXNEPCT,0.0004934721318769202
PHAFSTMN.x,0.0003711389500657825
RIDRETH3,-0.0003196300776153786
HSQ500,0.00021548133094484044
DRABF,-2.220446049250313e-16
DR1DRSTZ,2.9551640192219307e-18
SDDSRVYR,-0.0
RIDSTATR,-0.0
HSAQUEX,-0.0
SMQ870,-0.0
