Principal Component,Explained Variance Ratio,Cumulative Variance Ratio
PC1,0.10201961152844942,0.10201961152844942
PC2,0.07623011144717733,0.17824972297562675
PC3,0.043711920394258204,0.22196164336988494
PC4,0.02882171696742078,0.25078336033730575
PC5,0.023571318656778566,0.27435467899408433
PC6,0.019016303505476652,0.293370982499561
PC7,0.018108521516603967,0.311479504016165
PC8,0.01655592068498758,0.32803542470115254
PC9,0.015571160381572299,0.34360658508272485
PC10,0.015321969542030054,0.3589285546247549
PC11,0.013199636914068195,0.3721281915388231
PC12,0.01212788888855099,0.3842560804273741
PC13,0.011579367088255415,0.3958354475156295
PC14,0.011559809703528533,0.40739525721915804
PC15,0.01110006577042727,0.4184953229895853
PC16,0.010045829793329382,0.4285411527829147
PC17,0.009432229516518289,0.437973382299433
PC18,0.009323235186069027,0.44729661748550203
PC19,0.008804162502850491,0.4561007799883525
PC20,0.008690210369378315,0.46479099035773086
PC21,0.008401074246809715,0.47319206460454055
PC22,0.008260331163178935,0.4814523957677195
PC23,0.007961762311432865,0.48941415807915234
PC24,0.007827736158123256,0.4972418942372756
PC25,0.007537793228226293,0.504779687465502
PC26,0.0072365714439888585,0.5120162589094908
PC27,0.00711080738541802,0.5191270662949088
PC28,0.006940571995699119,0.5260676382906079
PC29,0.00679371347246444,0.5328613517630724
PC30,0.00645721037284072,0.5393185621359131
PC31,0.0063964797127431,0.5457150418486563
PC32,0.006317555985970619,0.5520325978346269
PC33,0.0062180529519598625,0.5582506507865868
PC34,0.006177773215099008,0.5644284240016858
PC35,0.005928121756040875,0.5703565457577267
PC36,0.005774697967281631,0.5761312437250082
PC37,0.0056854688111989,0.5818167125362071
PC38,0.00563024512443337,0.5874469576606405
PC39,0.005616926443056133,0.5930638841036966
PC40,0.00555578733813364,0.5986196714418303
PC41,0.005494819977063366,0.6041144914188936
PC42,0.005431069512806284,0.6095455609316999
PC43,0.005315834044405339,0.6148613949761053
PC44,0.005279991136430814,0.6201413861125361
PC45,0.0052182024032457735,0.6253595885157819
PC46,0.005161861571911983,0.6305214500876939
PC47,0.0051094399344547205,0.6356308900221486
PC48,0.005019904172414044,0.6406507941945626
PC49,0.004985933773929618,0.6456367279684923
PC50,0.004955768891807374,0.6505924968602996
PC51,0.004911547459824759,0.6555040443201244
PC52,0.0048428794332487975,0.6603469237533732
PC53,0.00482170766059108,0.6651686314139643
PC54,0.004750457686362635,0.6699190891003269
PC55,0.0047220319359540346,0.6746411210362809
PC56,0.004638364093443411,0.6792794851297244
PC57,0.004625119568843879,0.6839046046985683
PC58,0.004588226662077612,0.6884928313606459
PC59,0.004512848675306224,0.6930056800359521
PC60,0.004489218117192211,0.6974948981531442
PC61,0.004470731106884711,0.7019656292600289
PC62,0.004387180044428327,0.7063528093044572
PC63,0.004376251342677454,0.7107290606471347
PC64,0.004334379846591226,0.7150634404937259
PC65,0.004291899133740797,0.7193553396274668
PC66,0.004261155819483185,0.72361649544695
PC67,0.004236902008918385,0.7278533974558683
PC68,0.004205227683722908,0.7320586251395912
PC69,0.004149288943141653,0.7362079140827329
PC70,0.0041197969294513425,0.7403277110121842
PC71,0.004078594808803108,0.7444063058209873
PC72,0.00406022449005998,0.7484665303110473
PC73,0.0040436427688834995,0.7525101730799307
PC74,0.003980193291499819,0.7564903663714305
PC75,0.003941255050932474,0.760431621422363
PC76,0.003931809782622508,0.7643634312049855
PC77,0.0039008623118253856,0.7682642935168109
PC78,0.0038396091368929587,0.7721039026537039
PC79,0.00379594723077796,0.7758998498844818
PC80,0.00378021546831462,0.7796800653527964
PC81,0.003734793424261945,0.7834148587770584
PC82,0.003715635162142596,0.787130493939201
PC83,0.003685683397837605,0.7908161773370386
PC84,0.0036626218460593597,0.7944787991830979
PC85,0.0036201179895630014,0.7980989171726609
PC86,0.003597703717260637,0.8016966208899216
PC87,0.003518760557867765,0.8052153814477894
PC88,0.0034899273294609736,0.8087053087772503
PC89,0.003470298366152844,0.8121756071434032
PC90,0.0034377671071370904,0.8156133742505403
PC91,0.003394446607736017,0.8190078208582763
PC92,0.003346207135799397,0.8223540279940756
PC93,0.0033235605308894515,0.8256775885249651
PC94,0.0033144540785688733,0.828992042603534
PC95,0.0032757540311192544,0.8322677966346532
PC96,0.003191538889979736,0.8354593355246329
PC97,0.0031515105981289055,0.8386108461227618
PC98,0.0031503886206511334,0.8417612347434129
PC99,0.0031234905367352175,0.8448847252801481
PC100,0.003096660241440232,0.8479813855215884
PC101,0.003030699676190585,0.851012085197779
PC102,0.002974385241806936,0.853986470439586
PC103,0.002956561722600288,0.8569430321621863
PC104,0.002924869402571673,0.8598679015647579
PC105,0.002879760303369692,0.8627476618681276
PC106,0.0028679062528286364,0.8656155681209562
PC107,0.0028150445936906206,0.8684306127146468
PC108,0.0027991663144637424,0.8712297790291106
PC109,0.0027725792714473675,0.874002358300558
PC110,0.0027217170549518792,0.8767240753555098
PC111,0.002697023048066165,0.879421098403576
PC112,0.002648165332439663,0.8820692637360156
PC113,0.002629557002795286,0.8846988207388109
