,PC1
DR1TPHOS,0.18253798598501592
DR1TKCAL,0.18161659684313872
DR1TTFAT,0.17610944283513902
DR1TMFAT,0.16772741030852578
DR1TS160,0.16770171605376707
DR1TM181,0.16478737176367944
DR1TSFAT,0.16423249840722606
DR1TPROT,0.16420427050364342
DR1TPOTA,0.1617823837608857
DR1TMAGN,0.15796084599168467
DR1TS180,0.15792109061106785
DR1TSODI,0.1567925516946772
DR1TSELE,0.15202934310403174
DR1TZINC,0.1508681665551827
DR1TVB2,0.1481271351773011
DR1TCHL,0.14491430020914928
DR1TCALC,0.14485305291840128
DR1TCOPP,0.14376446211746524
DR1TVB1,0.1436112681111821
DR1TPFAT,0.14301708630349605
DR1TP182,0.14137355837337762
DR1TNIAC,0.14059248660240364
DR1TCARB,0.1401339511810654
DR1TIRON,0.13886027440319484
DR1TFOLA,0.13262671862628275
DR1TM161,0.12979417245168112
DR1TS140,0.12814150971649713
DR1TATOC,0.12749162930571736
DR1TFF,0.12711719888401438
DR1TFIBE,0.12592039133173324
DR1TRET,0.12069677703329676
DR1TVB6,0.12042120698638518
DR1TS100,0.12031568333710671
DR1TFDFE,0.119875531968436
DR1TP183,0.1198252549527017
DR1TCHOL,0.11834177219661106
DR1TVB12,0.1173813406292336
DR1TS060,0.11072063161235697
DR1TM201,0.11030604220538069
DR1TS040,0.10989901543080441
DR1TS080,0.10813091876822828
DR1TP204,0.10654307759077648
DR1TVARA,0.09823382146520582
DR1TSUGR,0.09049227301479765
DR1TNUMF,0.08995496281722459
DR1TFA,0.08233828709564432
DR1TVD,0.08064038247373354
DR1TMOIS,0.07380565593390358
DR1TS120,0.07193789699645664
BMXHT,0.06994979333353148
RIAGENDR,-0.06647825531860535
DR1TVK,0.05820412845791147
DR1TVC,0.05636518488014953
LBXHGB,0.04756036518082656
LBXHCT,0.04602709172770774
BMXARML,0.045835909863781416
OHX04TC,-0.044284834421637435
OHX14TC,-0.044018445995300075
OHX15TC,-0.04362484675409555
OHX31TC,-0.04303712311043375
OHX07TC,-0.0427253228573964
OHX08TC,-0.04228715488646548
OHX23TC,-0.04213830445037438
OHX25TC,-0.04208955419301456
OHX09TC,-0.04120397775076037
OHX20TC,-0.040968594914096046
OHX02TC,-0.040604862420441284
OHX24TC,-0.03982139391100126
OHX19TC,-0.03977656182076928
OHX11TC,-0.0396594921375581
OHX10TC,-0.03960869440686142
OHX06TC,-0.03956525696280944
OHX30TC,-0.03946176831694286
LBXRBCSI,0.03906043170813902
OHX26TC,-0.038956302647422184
IND235,0.03890214278895315
OHX29TC,-0.03850367148336339
OHX18TC,-0.03825696815167394
DR1TLZ,0.03820269945486448
INDFMIN2,0.03818170341100213
INDHHIN2,0.03765081641681003
OHX22TC,-0.037572289921039226
INDFMMPC,0.03738076150269279
HUQ010,-0.037185343881585085
OHX27TC,-0.03684037118585143
INDFMPIR,0.03683068491844891
OHX03TC,-0.03581134953331455
OHX13TC,-0.03576110852976292
DMDHREDU,0.03574814475587243
DLQ050,0.03569794072363497
INDFMMPI,0.03533473132667496
